time,open,high,low,close,SMA 50,SMA 100,SMA 200,Volume,Volume MA,Plot,Plot,Plot,Histogram,MACD,Signal
1686780000,25123.63,25141.7,24961.1,25130.06,25880.844599999982,26164.784499999994,26605.095149999986,2307.46638575,1869.737803991505,25775.732222222323,25885.56047619045,NaN,-83.65297757615579,-115.93511900052181,-32.28214142436602
1686787200,25128.85,25205.6,25029.29,25067.32,25866.48919999998,26148.762499999997,26590.707699999984,1554.50061414,1866.4406914330052,25682.945555555652,25837.41047619045,NaN,-101.60889130338057,-159.29325555359173,-57.68436425021116
1686794400,25067.82,25125.84,25052.01,25058.44,25850.48239999998,26128.420899999994,26576.376299999985,1035.72994904,1838.5216690685054,25580.00111111121,25785.091428571403,NaN,-107.57760769769857,-192.15637387233437,-84.5787661746358
1686801600,25058.21,25058.89,24907.65,24996.1,25833.43019999998,26107.807799999995,26561.764299999984,1806.07353938,1733.8185321450055,25470.807777777878,25727.956666666636,NaN,-108.88659223716859,-220.68700647109654,-111.80041423392795
1686808800,24996.23,25038.7,24846.49,24930.68,25817.124399999982,26084.732799999994,26548.208799999986,2501.05044089,1705.4983089840055,25353.097777777875,25675.026190476165,NaN,-107.1547118268287,-245.74380401746384,-138.58909219063514
1686816000,24930.66,24989.44,24844.89,24896.55,25798.27359999998,26062.75269999999,26534.150199999985,1371.79919643,1699.4615586885054,25232.037777777874,25633.91666666664,NaN,-101.36658224592148,-265.297319998037,-163.9307377521155
1686823200,24896.04,25012.36,24770.53,24982.8,25782.745199999983,26043.475299999987,26520.794049999982,1902.31285371,1742.784863084505,25117.747777777873,25593.961904761876,NaN,-85.42609226890994,-270.7133530882529,-185.28726081934298
1686830400,24988.36,25062.45,24887.05,25017.74,25768.61819999998,26024.416299999986,26507.470149999986,3198.29942608,1839.100017539505,25022.733333333428,25552.1214285714,NaN,-67.03770729081293,-269.08439493285914,-202.0466876420462
1686837600,25018.88,25053.02,24935.14,24939.33,25751.085199999976,26005.778599999983,26493.407899999987,2662.32834746,1938.3708153815053,25002.113333333426,25508.554285714257,NaN,-55.15991837404198,-270.9965856095987,-215.83666723555672
1686844800,24939.33,25141.63,24908.94,25124.86,25739.10299999998,25991.964699999982,26480.13319999999,1913.21166945,1988.6261762305053,25001.53555555565,25469.915238095207,NaN,-31.01574345972199,-254.6063465602092,-223.59060310048721
1686852000,25125.13,25495.04,25075.05,25442.18,25732.507799999978,25977.352099999986,26468.131099999984,3481.99641742,2135.506984960505,25043.18666666676,25441.473333333302,NaN,8.032308080820258,-213.5502179994619,-221.58252608028215
1686859200,25440.78,25746.69,25212.62,25569.88,25724.73939999998,25964.785399999986,26457.15174999999,3777.91477414,2296.5177365900054,25100.01333333343,25421.730476190445,NaN,42.25544470101667,-168.7632202040113,-211.01866490502798
1686866400,25569.33,25648.39,25543.17,25582.77,25715.436999999984,25957.069299999985,26446.33459999999,3399.02257519,2439.4078213325056,25165.198888888983,25409.05904761902,NaN,64.23717006181658,-130.72220232775726,-194.95937238957384
1686873600,25582.77,25583.49,25432.75,25509.04,25704.441599999984,25946.942099999986,26434.540299999993,1198.99626041,2466.3972690635055,25229.46111111121,25390.32761904759,NaN,71.71960208998038,-105.30986977709836,-177.02947186707874
1686880800,25507.54,25590.21,25479,25550.15,25696.64439999998,25937.561099999984,26422.05989999999,632.58509187,2469.9261826975057,25302.08333333343,25369.623333333304,NaN,76.88727353646343,-80.92037994649945,-157.80765348296288
1686888000,25550,25607.67,25460.69,25543.18,25688.569799999983,25931.444799999983,26410.652649999993,762.94990408,2437.1612372170057,25364.347777777875,25348.877619047595,25364.347777777875,77.08960509287388,-61.44564711687053,-138.5352522097444
1686895200,25540.05,25606.44,25516.98,25523.31,25683.00319999998,25923.161099999983,26399.84629999999,879.74511117,2431.6103032065057,25420.52222222232,25326.65095238092,NaN,73.17020057940593,-47.07250148548701,-120.24270206489294
1686902400,25523.78,25607.94,25523.68,25577.65,25678.90679999998,25914.436699999984,26389.16739999999,934.08953615,2412.0952503005055,25491.446666666765,25307.2014285714,NaN,71.44197255372057,-30.94023637274222,-102.3822089264628
