time,open,high,low,close,"IXIC, NASDAQ: Open","IXIC, NASDAQ: High","IXIC, NASDAQ: Low","IXIC, NASDAQ: Close",SMA 50,SMA 100,SMA 200,Plot,Volume,Volume MA,Plot,Plot,Plot,Histogram,MACD,Signal
1688058000,30504.13,30666.05,30423.03,30543.79,13581.2572,13593.252,13559.0613,13561.1123,30388.932799999937,30394.06680000009,30365.04625000001,24520.607899999977,1379.33469285,692.6506973310027,30554.606666666597,30344.38047619051,NaN,21.625692005108974,70.90770532278111,49.28201331767214
1688061600,30544.31,30622.14,30508.05,30572.84,13561.3223,13573.329,13540.3139,13572.2708,30385.980399999935,30394.156500000092,30373.69330000001,24520.607899999977,688.73684539,712.3259479090027,30569.286666666598,30364.82523809527,NaN,19.474514496594054,73.6251564384147,54.15064194182065
1688065200,30572.59,30608.17,30495.49,30595.65,13572.7062,13594.5389,13559.5565,13591.9947,30382.982399999935,30394.170900000092,30381.939950000007,24520.607899999977,1529.37776198,772.3614419650027,30557.796666666593,30388.0404761905,NaN,18.067311725015635,76.7347815980902,58.66746987307456
1688068800,30593.13,30644.49,30256.26,30406.43,13592.4515,13592.4515,13591.3308,13591.3308,30377.101199999935,30392.217700000092,30389.45455000001,24520.607899999977,1303.85301871,818.2504845095026,30528.134444444375,30403.42952380955,NaN,3.6277474826204354,63.2021542263501,59.57440674372967
1688072400,30402.59,30449.59,30370.64,30422.13,NaN,NaN,NaN,NaN,30371.891199999936,30391.07630000009,30394.962150000007,24520.607899999977,610.29922655,829.2663519825026,30505.146666666595,30419.84285714288,NaN,-5.154055333867817,53.1318375763949,58.28589291026272
1688076000,30421.56,30459.08,30405.64,30413.37,NaN,NaN,NaN,NaN,30366.883199999935,30390.546800000095,30399.243200000008,24520.607899999977,316.05044434,823.8094568525026,30488.966666666598,30431.631428571458,NaN,-11.478559205084878,43.93769390390662,55.4162531089915
1688079600,30415.87,30526.04,30406.24,30453.02,NaN,NaN,NaN,NaN,30361.452399999936,30390.696600000094,30402.240350000007,24587.42339999998,382.12965212,828.7774450030025,30487.97222222215,30447.525714285744,NaN,-12.815759695805944,39.396553489234066,52.21231318504001
1688083200,30453.04,30508.05,30412.04,30447.24,NaN,NaN,NaN,NaN,30358.386199999935,30391.30360000009,30403.714400000008,24587.42339999998,347.71409948,830.7771129760025,30484.34555555549,30460.88428571431,NaN,-13.826943546939326,34.92863375136585,48.75557729830518
1688086800,30443.79,30443.79,30360.25,30393.12,NaN,NaN,NaN,NaN,30352.247599999933,30390.70720000009,30405.27310000001,24587.42339999998,520.83690277,846.2278969760025,30471.954444444375,30469.106666666696,NaN,-17.63421002369295,26.712814768688986,44.34702479238194
1688090400,30388.62,30755.05,30381.47,30666.09,NaN,NaN,NaN,NaN,30353.155399999934,30392.285900000086,30407.93165000001,24587.42339999998,892.79748329,886.2501454905025,30485.543333333262,30491.94428571431,30485.543333333262,-2.0801121313434052,41.74688462820268,43.826996759546084
